shot_year,shot_month,A,B,H,N,O,W
2015,1,2.0,16.0,12.0,1.0,1.0,36.0
2015,2,2.0,16.0,15.0,0.0,2.0,42.0
2015,3,0.0,19.0,18.0,1.0,1.0,47.0
2015,4,2.0,27.0,18.0,1.0,2.0,38.0
2015,5,1.0,20.0,10.0,0.0,2.0,51.0
2015,6,0.0,18.0,12.0,1.0,0.0,37.0
2015,7,0.0,23.0,13.0,1.0,1.0,45.0
2015,8,1.0,23.0,13.0,1.0,0.0,47.0
2015,9,1.0,22.0,15.0,2.0,2.0,45.0
2015,10,1.0,30.0,17.0,0.0,1.0,38.0
2015,11,2.0,20.0,17.0,0.0,0.0,39.0
2015,12,3.0,24.0,13.0,1.0,2.0,37.0
2016,1,1.0,18.0,17.0,1.0,0.0,46.0
2016,2,0.0,23.0,15.0,2.0,0.0,37.0
2016,3,2.0,19.0,14.0,3.0,0.0,47.0
2016,4,4.0,20.0,10.0,0.0,0.0,39.0
2016,5,0.0,17.0,12.0,3.0,1.0,45.0
2016,6,2.0,20.0,18.0,0.0,2.0,44.0
2016,7,1.0,26.0,13.0,1.0,2.0,32.0
2016,8,0.0,15.0,18.0,1.0,0.0,40.0
2016,9,0.0,20.0,6.0,1.0,3.0,37.0
2016,10,1.0,15.0,14.0,3.0,1.0,38.0
2016,11,3.0,27.0,15.0,0.0,1.0,32.0
2016,12,1.0,16.0,9.0,2.0,1.0,28.0
2017,1,4.0,23.0,22.0,1.0,1.0,41.0
2017,2,1.0,21.0,19.0,0.0,0.0,37.0
2017,3,2.0,20.0,8.0,1.0,0.0,51.0
2017,4,2.0,23.0,15.0,3.0,0.0,46.0
2017,5,1.0,14.0,17.0,0.0,0.0,36.0
2017,6,1.0,18.0,20.0,1.0,0.0,32.0
2017,7,1.0,19.0,20.0,1.0,1.0,41.0
2017,8,2.0,21.0,9.0,3.0,0.0,44.0
2017,9,0.0,17.0,13.0,1.0,1.0,39.0
2017,10,0.0,22.0,13.0,6.0,1.0,39.0
2017,11,2.0,16.0,13.0,2.0,1.0,31.0
2017,12,0.0,9.0,11.0,3.0,0.0,21.0
2018,1,2.0,28.0,19.0,0.0,0.0,44.0
2018,2,1.0,19.0,9.0,1.0,0.0,32.0
2018,3,3.0,17.0,17.0,3.0,0.0,40.0
2018,4,0.0,16.0,11.0,3.0,0.0,33.0
2018,5,4.0,12.0,13.0,3.0,0.0,50.0
2018,6,1.0,24.0,13.0,1.0,1.0,41.0
2018,7,2.0,14.0,29.0,0.0,1.0,43.0
2018,8,0.0,16.0,14.0,1.0,0.0,36.0
2018,9,3.0,19.0,10.0,1.0,0.0,31.0
2018,10,1.0,20.0,8.0,1.0,0.0,36.0
2018,11,2.0,18.0,13.0,2.0,0.0,37.0
2018,12,2.0,25.0,13.0,0.0,2.0,37.0
2019,1,2.0,18.0,21.0,3.0,1.0,44.0
2019,2,4.0,20.0,5.0,1.0,2.0,31.0
2019,3,1.0,23.0,20.0,3.0,0.0,31.0
2019,4,2.0,9.0,14.0,3.0,0.0,37.0
2019,5,2.0,22.0,20.0,1.0,2.0,34.0
2019,6,1.0,27.0,16.0,0.0,0.0,27.0
2019,7,1.0,18.0,15.0,0.0,0.0,39.0
2019,8,0.0,19.0,11.0,0.0,0.0,19.0
2019,9,0.0,20.0,11.0,1.0,0.0,38.0
2019,10,4.0,26.0,10.0,1.0,0.0,43.0
2019,11,1.0,21.0,11.0,0.0,0.0,35.0
2019,12,2.0,28.0,14.0,0.0,4.0,46.0
2020,1,1.0,28.0,8.0,1.0,1.0,40.0
2020,2,1.0,17.0,20.0,2.0,0.0,36.0
2020,3,1.0,14.0,15.0,0.0,0.0,45.0
2020,4,1.0,23.0,12.0,0.0,0.0,32.0
2020,5,2.0,28.0,16.0,0.0,2.0,46.0
2020,6,2.0,17.0,19.0,0.0,0.0,42.0
2020,7,0.0,19.0,11.0,0.0,0.0,34.0
2020,8,1.0,19.0,14.0,1.0,0.0,44.0
2020,9,1.0,19.0,12.0,1.0,0.0,37.0
2020,10,2.0,20.0,21.0,1.0,0.0,45.0
2020,11,0.0,25.0,8.0,0.0,0.0,31.0
2020,12,3.0,14.0,15.0,3.0,0.0,27.0
2021,1,0.0,17.0,7.0,0.0,0.0,34.0
2021,2,0.0,8.0,7.0,2.0,0.0,31.0
2021,3,0.0,17.0,15.0,2.0,0.0,34.0
2021,4,1.0,19.0,8.0,1.0,0.0,22.0
2021,5,2.0,23.0,8.0,1.0,0.0,24.0
2021,6,1.0,11.0,15.0,0.0,0.0,38.0
2021,7,0.0,13.0,7.0,0.0,0.0,23.0
2021,8,0.0,16.0,3.0,0.0,0.0,17.0
2021,9,0.0,14.0,3.0,1.0,0.0,21.0
2021,10,0.0,11.0,2.0,1.0,0.0,24.0
2021,11,0.0,16.0,5.0,0.0,0.0,21.0
2021,12,0.0,17.0,3.0,0.0,0.0,16.0
2022,1,0.0,7.0,3.0,0.0,0.0,16.0
2022,2,0.0,6.0,4.0,1.0,0.0,16.0
2022,3,2.0,10.0,2.0,0.0,0.0,17.0
2022,4,2.0,9.0,2.0,0.0,0.0,16.0
2022,5,1.0,13.0,5.0,1.0,0.0,24.0
2022,6,1.0,7.0,3.0,1.0,0.0,18.0
2022,7,0.0,4.0,2.0,0.0,0.0,6.0
2022,8,0.0,6.0,1.0,1.0,0.0,4.0
2022,9,1.0,3.0,3.0,1.0,0.0,4.0
2022,10,0.0,0.0,3.0,1.0,0.0,3.0
2022,11,0.0,7.0,2.0,0.0,0.0,2.0
2022,12,0.0,2.0,0.0,0.0,0.0,5.0
